이름,부위,설명,URL_1번 이미지,URL_2번 이미지
바벨 바이셉 컬,이두,바벨을 이용해 상완 이두근을 강화하는 운동. 팔을 구부리며 이두근을 자극.,https://upload.wikimedia.org/wikipedia/commons/2/24/Close-grip-ez-bar-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/d/db/Close-grip-ez-bar-curl-2.png
덤벨 바이셉 컬,이두,덤벨을 사용해 팔의 이두근을 강화하는 운동. 한 손씩 번갈아가며 수행.,https://upload.wikimedia.org/wikipedia/commons/7/7f/Biceps-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/6/66/Biceps-curl-2.png
레그 바이셉 컬,후면 허벅지,다리를 구부리며 허벅지 후면 근육을 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/6/6a/Concentration-curls-1.png,https://upload.wikimedia.org/wikipedia/commons/9/97/Concentration-curls-2.png
디클라인 싯 업,복근,디클라인 벤치에서 상체를 들어 올리며 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/e/e8/Decline-sit-up-1.png,https://upload.wikimedia.org/wikipedia/commons/e/ec/Decline-sit-up-2.png
AB롤아웃,복근,AB 휠을 이용해 코어와 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/a/a6/Ab-rollout-1.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Ab-rollout-2.png
바이셉 해머 컬,이두/전완근,해머 그립으로 덤벨을 이용해 팔과 전완근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/6/66/Bicep-hammer-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/8/86/Bicep-hammer-curl-2.png
카프레이즈,종아리,발끝으로 서서 종아리 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/3/30/Calf-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/b/bb/Calf-raises-2.png
크로스 바디 크런치,복근/옆구리,상체를 비틀며 옆구리 근육을 강화하는 크런치 운동.,https://upload.wikimedia.org/wikipedia/commons/5/5b/Cross-body-crunch-1.png,https://upload.wikimedia.org/wikipedia/commons/7/7f/Cross-body-crunch-2.png
벤치 딥스,삼두/가슴,벤치를 이용해 체중을 지탱하며 삼두근과 가슴 근육을 강화.,https://upload.wikimedia.org/wikipedia/commons/d/d0/Bench-dips-1.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Bench-dips-2.png
클로즈 그립 벤치 프레스,삼두/가슴,좁은 그립으로 벤치 프레스를 하여 삼두근을 집중적으로 강화.,https://upload.wikimedia.org/wikipedia/commons/6/6c/Close-grip-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/c/c7/Close-grip-bench-press-2.png
클로즈 트라이셉스 푸쉬업,삼두/가슴,좁은 손 간격으로 푸쉬업을 수행하여 삼두근을 주로 자극하는 운동,https://upload.wikimedia.org/wikipedia/commons/c/c0/Close-triceps-pushup-1.png,https://upload.wikimedia.org/wikipedia/commons/7/77/Close-triceps-pushup-2.png
크런치,복근,상체를 들어 복부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/d/db/Crunches-1.png,https://upload.wikimedia.org/wikipedia/commons/e/ef/Crunches-2.png
크로스 바디 해머 컬,이두/전완근,덤벨을 크로스 형태로 들어 올리며 이두와 전완근을 강화.,https://upload.wikimedia.org/wikipedia/commons/4/42/Cross-body-hammer-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/6/64/Cross-body-hammer-curl-2.png
드래그 컬,이두,바벨을 몸에 가깝게 끌어올리며 이두근을 집중적으로 자극.,https://upload.wikimedia.org/wikipedia/commons/f/f4/Drag-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/9/91/Drag-curl-2.png
